time_s,north_m,east_m,altitude_m,speed_m_s,mach,mass_kg,phase_index,route_leg_index,phase,route_north_command_m,route_east_command_m,route_altitude_command_m,route_speed_command_m_s,route_heading_command_deg,route_flight_path_command_deg,route_bank_command_deg,route_bank_achieved_deg,route_pitch_achieved_deg,route_heading_achieved_deg,heading_rad,flight_path_angle_rad,p_rad_s,q_rad_s,r_rad_s,dynamic_pressure_pa,lift_n,drag_n,thrust_n,required_thrust_n,fuel_flow_kg_s,thrust_margin_n,side_force_n,roll_moment_nm,pitch_moment_nm,yaw_moment_nm,control_path,allocation_status,allocation_residual_norm,saturation_count,throttle_ratio,flight_path_angle_command_rad,aileron_rad,elevator_rad,rudder_rad,control_effectivity_source
0.0,0.0,0.0,10500.0,231.85534691678674,0.78,60000.0,0,1,outbound-climb,0.0,0.0,10500.0,230.1542,90.0,0.9956804921916612,0.0,0.0,0.1432394487829405,90.0,1.5707963267948966,7.778053681881626e-26,0.0,0.0,0.0,10499.33163232439,588399.0,33989.52706617285,31791.936886281106,33989.52706617285,0.6719213328494877,12131.057185444799,0.0,-2.4427449171225928e-36,8.044905946264786e-10,2.040408743622973e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6672473169433143,7.778053681881626e-26,2.3409907592003427e-28,0.01999999999998898,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
0.2,2.839408012821696e-15,46.371051878771944,10500.040291591955,231.84618034818973,0.7799696232901997,59999.86561573343,0,1,outbound-climb,0.0,46.030840000000005,10500.8,230.1542,90.0,0.9956804921916612,0.0,0.0,0.1531962537048571,90.0,1.5707963267948966,0.000868895144331109,0.0,0.000868895144331109,0.0,10498.486212259273,588397.6821405322,33988.62524189203,31805.62090248051,33988.62524189203,0.6721939106201569,12136.232057619221,0.0,-2.4425482240720995e-36,-11956.69168145797,2.040244447213134e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6674985568395614,0.000868895144331109,2.3409907592003427e-28,0.021390232230918755,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
0.4,5.678700763865887e-15,92.74022138986717,10500.118857062294,231.83530403561755,0.7799339327146833,59999.73118790691,0,1,outbound-climb,0.0,92.06168000000001,10501.6,230.1542,90.0,0.9956804921916612,0.0,0.0,0.1720146150072795,90.0,1.5707963267948966,0.0016943455314456625,0.0,0.0016422118227857959,0.0,10497.43899871868,588396.3638538873,33987.49948417766,31818.19789029877,33987.49948417766,0.6724444370190791,12141.355516106341,0.0,-2.4423045823201285e-36,-11948.289588227368,2.040040934862111e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6677283630097048,0.0016943455314456625,2.3409907592003427e-28,0.021341574102836214,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
0.6000000000000001,8.517855673433917e-15,139.10713977882244,10500.233778789794,231.82280298013782,0.779893192207798,59999.59672038615,0,1,outbound-climb,0.0,138.09252000000004,10502.4,230.1542,90.0,0.9956804921916612,0.0,0.0,0.1986201934391329,90.0,1.5707963267948966,0.0024785233992044883,0.0,0.0023217747151671564,0.0,10496.200065724413,588395.0451779749,33986.161026466725,31832.684321988014,33986.161026466725,0.6727329984470445,12146.42921489301,0.0,-2.442016335660209e-36,-11820.968193835957,2.039800164325205e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6680065751441094,0.0024785233992044883,2.3409907592003427e-28,0.021284366046533453,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
0.8,1.1356851459894956e-14,185.47145949023079,10500.38323433845,231.8087678083063,0.7798476857079656,59999.46220504657,0,1,outbound-climb,0.0,184.12336000000002,10503.2,230.1542,90.0,0.9956804921916612,0.0,0.0,0.23196821150315564,90.0,1.5707963267948966,0.003223492373575373,0.0,0.002910163571158709,0.0,10494.77983684088,588393.72603312,33984.62138608311,31848.973939224492,33984.62138608311,0.6730574782990606,12151.453679808175,0.0,-2.44168590920947e-36,-11587.919616848189,2.0395241612867844e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6683305301767799,0.003223492373575373,2.3409907592003427e-28,0.021220035135395523,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
1.0,1.4195668178707015e-14,231.83285480500325,10500.565491792633,231.7932845809355,0.7797976828216922,59999.32763421251,0,1,outbound-climb,0.0,230.1542,10504.0,230.1542,90.0,0.9956804921916612,0.0,0.0,0.27105094505549054,90.0,1.5707963267948966,0.003931212899227713,0.0,0.0034106119058395197,0.0,10493.18821557532,588392.4063440501,33982.891514245945,31866.965767426555,33982.891514245945,0.6734158652192537,12156.429492212563,0.0,-2.4413156070900038e-36,-11262.079813793009,2.0392148503648603e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6686976978273659,0.003931212899227713,2.3409907592003427e-28,0.021149936964017325,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
1.2,1.70342871397732e-14,278.1910204906939,10500.77890531328,231.77643502057987,0.779743439540081,59999.193000634936,0,1,outbound-climb,0.0,276.18504,10504.8,230.1542,90.0,0.9956804921916612,0.0,0.0,0.3149040952117831,90.0,1.5707963267948966,0.004603547398597437,0.0,0.003826909287993854,0.0,10491.434610757315,588391.0860396766,33980.981822592235,31886.56385986696,33980.981822592235,0.6738062480037319,12161.357278475021,0.0,-2.440907618333592e-36,-10856.02313519711,2.0388740600432644e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6691056741169031,0.004603547398597437,2.3409907592003427e-28,0.02107534924013666,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
1.4,1.9872690830409663e-14,324.54567054347103,10501.021910906902,231.75829672776922,0.7796851989196412,59999.05829747019,0,1,outbound-climb,0.0,322.21587999999997,10505.6,230.1542,90.0,0.9956804921916612,0.0,0.0,0.36261208881007456,90.0,1.5707963267948966,0.005242265172998674,0.0,0.004163307839052816,0.0,10489.527960720865,588389.765052886,33978.90220857147,31907.677053733812,33978.90220857147,0.6742268107414593,12166.237700739584,0.0,-2.440464022507842e-36,-10381.871232160789,2.0385035273711255e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6695521751910549,0.005242265172998674,2.3409907592003427e-28,0.02099746679624258,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
1.5999999999999999,2.2710862843502484e-14,370.8965370148302,10501.293022397807,231.73894338653747,0.7796231917291583,59998.92351825976,0,1,outbound-climb,0.0,368.24672,10506.4,230.1542,90.0,0.9956804921916612,0.0,0.0,0.41331236157018214,90.0,1.5707963267948966,0.005849047058679849,0.0,0.004424433456615353,0.0,10487.476756341392,588388.4433203421,33976.66207974819,31930.21873762212,33976.66207974819,0.67467582818282,12171.071448843824,0.0,-2.4399867950759056e-36,-9851.215786804642,2.0381049024398058e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6700350314372407,0.005849047058679849,2.3409907592003427e-28,0.020917397928775377,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
1.7999999999999998,2.55487878104655e-14,417.24336891671226,10501.590827594273,231.71844495976967,0.7795576370643058,59998.78865691109,0,1,outbound-climb,0.0,414.27755999999994,10507.2,230.1542,90.0,0.9956804921916612,0.0,0.0,0.46619868284832316,90.0,1.5707963267948966,0.006425489850076965,0.0,0.0046152021778554835,0.0,10485.28906297796,588387.1207822971,33974.27037704832,31954.106629954596,33974.27037704832,0.6751516613258888,12175.859233264346,0.0,-2.4394778125015016e-36,-9275.05445138915,2.0376797526470926e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6705521818824679,0.006425489850076965,2.3409907592003427e-28,0.020836161968767034,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
1.9999999999999998,2.838645133864269e-14,463.5859311992068,10501.913984639785,231.69686787486438,0.7794887429315974,59998.65370767926,0,1,outbound-climb,0.0,460.30839999999995,10508.0,230.1542,90.0,0.9956804921916612,0.0,0.0,0.5205235845799129,90.0,1.5707963267948966,0.006973110501904226,0.0,0.0047407420051930466,0.0,10482.972541369485,588385.7973824128,33971.73559698582,31979.262567851914,33971.73559698582,0.6756527532108454,12180.60177897678,0.0,-2.4389388571105613e-36,-8663.739307986109,2.0372295667581001e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6711016688592472,0.006973110501904226,2.3409907592003427e-28,0.02075468798507174,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
2.1999999999999997,3.122383995282779e-14,509.924003795495,10502.261218540807,231.67427520018518,0.7794167068031991,59998.51866514958,0,1,outbound-climb,0.0,506.33923999999996,10508.8,230.1542,90.0,0.9956804921916612,0.0,0.0,0.5755999597022905,90.0,1.5707963267948966,0.007493350121140123,0.0,0.004806320429744922,0.0,10480.534467531637,588384.4730675891,33969.06581290514,32005.61230598973,33969.06581290514,0.6761776249133232,12185.299820130196,0.0,-2.438371621720393e-36,-8026.93710236977,2.036755758771978e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6716816329274373,0.007493350121140123,2.3409907592003427e-28,0.02067381451989515,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
2.4,3.406094104060014e-14,556.2573807291163,10502.631317862906,231.65072681275382,0.7793417161440493,59998.38352422109,0,1,outbound-climb,0.0,552.37008,10509.6,230.1542,90.0,0.9956804921916612,0.0,0.0,0.6308018971251536,90.0,1.5707963267948966,0.007987577759414227,0.0,0.004817277807544161,0.0,10477.981751699574,588383.1477878027,33966.26869527587,32033.085324997104,33966.26869527587,0.6767248717278147,12189.954095445035,0.0,-2.4377777140468382e-36,-7373.600461340629,2.0362596716031822e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6722903080403192,0.007987577759414227,2.3409907592003427e-28,0.020594290256037154,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
2.6,3.6897742801200074e-14,602.5858692790398,10503.023131587384,231.6262795576142,0.7792639489126632,59998.24828009077,0,1,outbound-climb,0.0,598.40092,10510.4,230.1542,90.0,0.9956804921916612,0.0,0.0,0.6855648212442247,90.0,1.5707963267948966,0.008457094015774625,0.0,0.004778966669488034,0.0,10475.320956359792,588381.8214959521,33963.35153107431,32061.614648969677,33963.35153107431,0.6772931595326386,12194.56534425405,0.0,-2.437158660899517e-36,-6711.949271011351,2.035742580585734e-19,pseudo_6dof_kinematic_bridge,surrogate_policy_overlay,0.0,0,0.6729260169437113,0.008457094015774625,2.3409907592003427e-28,0.02051677551600448,-9.363963036801382e-27,jsbsim-1.3.1-a320-coefficient-surrogate
